code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
5449000045614,Minute Maid tropical,Minute Maid,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-nectars, fruit-juices, multifruit-nectars, sweetened-beverages","belgium, france, martinique, switzerland","metal, can, drink-can",,,e,4.0,,"Eau ; jus de fruits à base de concentré (orange 40%, goyave 2%, abricot 2%, mangue 1.8%, fruit de la passion 1.2%) ; sucre.",,
5449000045621,"Bt 6X33 Minute Maid Trop.,",Minute Maid,,france,,Magasins U,,unknown,,,,,
5449000056313,Canette Jus de Pomme,Minute Maid,,france,,,,unknown,,,,,
5449000067357,Néctar de naranja,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-nectars, orange-nectars","france, spain",,,,e,,,,,
5449000098870,Minute Maid multivitamines,"Coca-Cola, Minute Maid","plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-nectars, multifruit-nectars","belgium, france","brick, cardboard",,Belgium,e,4.0,,"Eau, jus de fruits à base de concentré : orange (40,4%), pomme (4,8%), citron (2,3%), raisin (1,8%), pêche (0,8%), sucre, arômes, vitamine C, B3, E, B5, B6, B2 et provitamine A,",,
5449000100573,Minute Maid multivitamines,Minute Maid,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, non-alcoholic-beverages","belgium, france",can,,Belgium,e,4.0,,"eau; jus de fruits à base de concentré: orange (40.4%), pomme c 1.0%), pèche (0,8%); sucre; arômes; vitamines C, B3, E, 85, B6, B2 et provitamine",,
5449000101068,Minute Maid Multivitamins Brik 20CL 4-pack,Minute Maid,,"belgium, france, world",,Delhaize,,unknown,,,,,
5449000111067,Great Start,Minute maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices",france,,,,c,4.0,,"Jus de fruits à base de concentré (orange 72.5%, orange sanguine 17%. pamplemousse rose 9%, acérola 1.5%). Riche en vitamine C.",,
5449000111104,Great Start!,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, multifruit-juices, multifruit-juices-from-concentrate","belgium, france","brick, cardboard",Noz,"Courrières,France",d,4.0,,"Jus de fruits à base de concentré (orange 53%, mandarine 33,6%, raisin 11%, acérola 2,4%).",,
5449000136039,Néctar de melocotón,Minute Maid,,france,,,,unknown,,,do las Cl)àlcs Ilidratos cal bono; de los cualcs azüct:es: Pl otcinas:,,
5449000136060,Néctar multifruta a partir de concentrado,Minute Maid,,france,,,,unknown,,,,,
5449000136084,MINUTE MAID PIÑA SIN AZÚCARES AÑADIDOS,Minute Maid,"beverages, sweetened-beverages",france,,,,b,4.0,,"Jus d'ananas à partir de concentré, eau, sucre, acidulant acide citrique, stabilisant pectines et antioxydant acide ascorbique",,
5449000136398,"Minute Maid Antiox Naranja, Frambuesa y Acerola",Minute Maid,"beverages, unsweetened-beverages",france,,,,b,,,"Maid 3070 menos &quot;Ligero: sin azücares Aas similares de calorias respecto a Otras del mercado con azücares BEBIDA A BASE DE ZUMO DE FRUTAS Y ZANAHORIA A PARTIR DE CONCENTRADO. coN VITAMINA C. Con edulcorante. INGREDIENTES: 67% zumo de frutas Y zanahoria a partir de concentrado (36% naranja, 15% frambuesa, 8% zanahoria, 5% uva, 2% grosella negra, 1 % acerola), agua, extractos de hibisco y zanahoria, aromas, vitamina C, edulcorante glucésidos de estevioM INFORMACIÔN NUTRICIONAL POR: 200 ml (%**) 100 ml 116 kJ/",,
