code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
8908003001029,Maaza Gold Tea,,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, hot-beverages, plant-based-beverages, teas",india,,,,unknown,,a,,,
8720157468493,Mango fruit drînk,"MAZZA, Maaza","beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices",netherlands,,,,unknown,4.0,,"Eau, purée de mangue (17%), jus de citron à base de concentré (1%), sucre, stabilisant : pectine, colorant, : béta-carotène, acidifiant : acide citrique, antioxydant : acide ascorbique, arôme.",,
0860009776579,Lemon Aioli Magic Green Sauce,Maazah,,united-states,,,,unknown,,unknown,,,219.0
8901764175015,Maaza,Coca-Cola,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, sweetened-beverages, mango-juice",india,,,,e,4.0,,"WATER, SUGAR, MANGO PULP (10.7%), ACIDITY REGULATORS (300,331(iii)), STABILIZER(466), ANTIOXIDANT (300), COLOUR (110), MANGO FLAVOURS (NATURE-IDENTICAL & ARTIFICIAL FLAVOURING SUBSTANCES).",,
0187104092206,maaza 600ml,,,united-kingdom,,,,unknown,,,,,
8901764092282,Maaza,Coca-Cola,"beverages-and-beverages-preparations, beverages, sweetened-beverages",india,,,,unknown,4.0,,"INGREDIENTS WATER, MANGO PULP (16.9%) SUGAR, ACIDITY REGULATORS (330, 331(iii)). ANTIOXIDANT (300), PRESERVATIVE (202). COLOUR (110) AND ADDED MANGO FLAVOURS (NATURAL, NATURE-IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES).",,
8720157468455,"Tropical con le Fruit drink Go on, you deser",Maaza,,netherlands,,,,unknown,4.0,,"maaza Did you know Maaza means 'enjoy' in Hindi?! S FSC FSO C020428 8999 E ditenag Multi fruit drink from concentrate, fruit content: at least 25%. Briefly heated. Ingredients: Water, fruit juice from concentrate (apple 1%, banana 10%, pineapple 20%, lemon, peach 0.5%) sugar, stabilizer (pectin) actiferica Latina ascorbic acid), flavouring colorant (betacarotene)-Boisson aux multifruits à base de concentré, teneur enfruits: au moins 25% Chauffée brièvement ingrédients:faujus defritsate de concentrépone 15,baranekara che 5%) sucre, stabilisant (pectine), acidificiant (acidecitrique), antioxydant (acide ascorbique), arome, colorant (beta carotene)-Multifruitdrink uit concentraat, vruchtgehalte",,
8720157400585,Tropical Fruit Drink,Maaza,,netherlands,,,,unknown,,,,11.4,49.0
8720157403074,Guava Fruit Drink,Maaza,guava-juice-from-concentrate,netherlands,,,,a,4.0,,"Water, guava juice from concentrate (17%), banana puree, stabiliser (pectin), acidity regulator (citric acid), antioxidant (ascorbic acid), flavouring, natural colourants (carrot, blackcurrant), sweeteners (sucralose, acesulfame K).",1.3,7.0
8720157401346,Aloe Vera Original Fruit Drink,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, aloe-vera-drinks",netherlands,,,,e,4.0,,"Water, aloë vera sap en gel gedeeltelijk uit concentraat 30%, witte druivensap uit concentraat, suiker, stabilisator (gellangom), voedingszuur (citroenzuur), antioxidant (ascorbinezuur), natuurlijk aroma, zuurteregelaar (calciumlactaat, trinatriumcitraat).",9.4,39.0
