code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
9415087012036,Soda Water - with a twist of lemon,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas",new-zealand,,PAK’nSAVE,,c,4.0,,"Carbonated Water, Sugar, Lemon Juice from Concentrate (4.5%). Flavour, Preservative (202). Colour (Carthamus Extract).",5.0,21.6
0016600001293,Schweppes Cranberry Raspberry Ginger Ale,,"beverages, carbonated-drinks",canada,,,,unknown,4.0,,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Sodium Benzoate (Preservative), Natural and Artificial Flavors, Red 40",,
9300675051040,Indian Tonic Water,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, tonic-water",new-zealand,,,,unknown,,not-applicable,,22.0,93.0
9315596006475,Infused Natural Mineral Water with Raspberry No Sugar,Schweppes,"beverages, waters",australia,,"Woolworths, Coles",,unknown,1.0,not-applicable,,0.0,0.478
7501073833739,Schweppes Ginger Ale,Schweppes,"beverages, carbonated-drinks, sodas",mexico,,,,unknown,,,,,
3124480163622,Schweppes agrumes,Schweppes,"plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas",belgium,,,,unknown,,,,,
17885058,Schweppes virgin mojito,Schweppes,,belgium,,,,unknown,,,,,
5449000060600,Shweppes Ananas,"Coca-Cola, Schweppes","beverages-and-beverages-preparations, beverages, carbonated-drinks, artificially-sweetened-beverages","france, tunisia",,,,e,4.0,,"EAU GAZÉIFIÉE, SUCRE, ACIDIFIANTS: E330, E331; JUS D'ORANGE, ARÔMES IDENTIQUES AUX NATURELS, CONSERVATEUR: E202, EMULSIFIANTS: E1450, E445; ÉDULCORANTS: E950, E955: COLORANTS: E150d, E104.",,
8935049501596,Schweppes soda water,,"beverages-and-beverages-preparations, beverages, waters",vietnam,,,,unknown,1.0,,,,
4000140712692,"Schweppes, Fruity",Schweppes,"beverages-and-beverages-preparations, beverages",germany,bottle,,,d,,,,,
5902860413103,Schweppes the original Russchian,Schweppes,,switzerland,,,,unknown,,,,,
11932026,Schweppes zéro agrumes sans sucre sans aspartame,Schweppes,"plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, artificially-sweetened-beverages, sodas, diet-beverages, fruit-sodas, diet-sodas, lemonade, lemonade-without-sugar-with-artificial-sweeteners, sweetened-beverages",belgium,plastic,,Belgique,c,4.0,,"Eau gazéifiée, extraits d'orange, acidifiant: acide citrique, édulcorants : acésulfame K et sucralose, conservateur : sorbate de potassium, arômes daturels d'agrumes avec autres arômes naturels, amidon modifié, antioxydant : acide ascorbique, stabilisant E445.",,
4000140071911,Roses Lemon Squash,Schweppes,syrups,germany,glass,,Deutschland,d,3.0,,"Wasser, Zucker, Limonensaft aus Limonen - saftkonzentrat (28%). Säuerungsmittel Citronen - säure, Konservierungsstoff Natriumbenzoat, natürliches Zitronenaroma mit anderen natürlichen Aromen.",,
5449000226259,Schweppes,Coca-Cola,,italy,it:bottiglia-pet,,,unknown,,,,,
4000140712319,Indian Tonic Water Zero,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, diet-beverages, diet-sodas",germany,de:mehrwegflasche,,,c,4.0,,"Wasser, Kohlensäure, Säuerungsmittel Citronensäure, natürliche Aromen, Süßungsmittel (Acesulfam-K, Sucralose), Aroma Chinin",,
4000140710070,dry tonic water,Schweppes,,germany,,,,unknown,,,,,
3124480163639,Shweppes Agrum Light Pet 6 x 50 cl,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, diet-beverages, diet-sodas",france,,,,b,,,,,
5410221205538,Indian tonic,Schweppes,,belgium,,,,unknown,,,,,
